nom,age,nationalite,club,valeur,salaire,rupture,attaque/defense,pied
Lee Sang Ho,31,South Korea,FC Seoul,550,3,688.0,High/ Medium,Right
F. Kurto,27,Poland,Wellington Phoenix,525,1,696.0,Medium/ Medium,Right
A. Witry,22,Norway,Ranheim Fotball,725,1,961.0,High/ Medium,Right
L. Varney,35,United Kingdom,Cheltenham Town,300,3,525.0,High/ Medium,Right
Valverde,33,Spain,Extremadura UD,400,2,620.0,Medium/ Medium,Right
H. Taniguchi,33,Japan,Sagan Tosu,260,2,325.0,Medium/ Medium,Right
J. Blåbjerg,23,Denmark,Aalborg BK,750,4,1100.0,Medium/ Medium,Left
J. Emmanuel,20,United Kingdom,Shrewsbury,825,2,,Medium/ High,Right
N. Gauna,26,Argentina,Curicó Unido,750,2,1100.0,High/ Medium,Left
P. Kovář,32,Czech Republic,SK Slavia Praha,375,1,825.0,Medium/ Medium,Right
F. Holst,23,Denmark,IF Elfsborg,725,2,961.0,Medium/ High,Right
B. Barker,21,United Kingdom,Preston North End,925,3,1900.0,High/ Medium,Right
L. Trotter,29,United Kingdom,AFC Wimbledon,625,3,1100.0,Low/ Low,Right
F. Narsingh,30,Netherlands,De Graafschap,600,3,870.0,Medium/ Medium,Right
D. Gustavsson,27,Sweden,IF Elfsborg,675,2,844.0,High/ Medium,Right
C. Dajome,24,Colombia,América de Cali,850,1,1200.0,High/ Medium,Right
M. Trapp,26,Germany,VfL Osnabrück,625,2,953.0,Medium/ Medium,Left
A. Mintzel,36,Germany,SV Wehen Wiesbaden,70,2,102.0,High/ High,Left
M. Piossek,28,Poland,VfL Sportfreunde Lotte,650,1,943.0,High/ High,Right
Borja Granero,28,Spain,Extremadura UD,575,2,934.0,Medium/ High,Left
Son Jeong Hyeon,26,South Korea,Gyeongnam FC,575,2,762.0,Medium/ Medium,Left
Kim Sung Ju,27,South Korea,Jeju United FC,650,2,813.0,High/ Medium,Left
C. Dieng,24,Senegal,FC Wacker Innsbruck,800,6,,Medium/ Medium,Right
L. Sinisterra,19,Colombia,Feyenoord,1200,2,2400.0,Medium/ Medium,Right
M. Cabit,25,France,AC Ajaccio,700,2,1300.0,Medium/ Medium,Left
O. Wijndal,18,Netherlands,AZ Alkmaar,1200,2,2500.0,Medium/ Medium,Left
N. Vujadinović,31,Montenegro,Lech Poznań,425,3,574.0,Medium/ Medium,Left
M. Delač,25,Croatia,AC Horsens,575,3,762.0,Medium/ Medium,Right
D. Herner,34,Argentina,América de Cali,200,1,270.0,Low/ Medium,Right
M. Hilßner,23,Germany,FC Hansa Rostock,1000,1,1700.0,Medium/ Medium,Left
Beto da Silva,21,Peru,Tigres U.A.N.L.,1000,11,1900.0,Medium/ Medium,Right
Bastos,26,Spain,CF Reus Deportiu,650,3,1100.0,High/ Medium,Right
D. Jastrzembski,18,Germany,Hertha BSC,1300,4,3100.0,High/ Medium,Left
F. Farnolle,33,Benin,Yeni Malatyaspor,325,3,650.0,Medium/ Medium,Right
M. Lorenz,29,Germany,Karlsruher SC,625,3,906.0,Medium/ Medium,Left
K. Kallaste,29,Estonia,Korona Kielce,475,2,641.0,Medium/ Medium,Left
N. Opoku,20,Ghana,Udinese,1300,5,3100.0,Medium/ Medium,Right
S. Ağçay,36,Turkey,MKE Ankaragücü,90,4,180.0,Low/ High,Right
M. Wassey,30,Canada,SC Paderborn 07,600,4,930.0,Medium/ Medium,Left
P. Micin,19,Republic of Serbia,Udinese,1400,4,3300.0,High/ Low,Right
M. Crépeau,24,Canada,,0,0,,Medium/ Medium,Right
J. Helmer,20,Netherlands,AZ Alkmaar,1000,4,1700.0,High/ Medium,Right
C. Doudin,31,Switzerland,Neuchâtel Xamax,575,3,834.0,Medium/ Medium,Right
M. Mak,26,Poland,Piast Gliwice,700,3,945.0,High/ Medium,Right
S. Sharahili,28,Saudi Arabia,Al Qadisiyah,525,6,866.0,High/ High,Right
N. Datković,25,Croatia,Cracovia,725,2,1000.0,Medium/ Medium,Right
E. Lancini,24,Italy,Brescia,725,1,1200.0,Medium/ Medium,Right
Jailson Acuna,30,Brazil,Sport Club do Recife,425,4,808.0,Medium/ Medium,Right
P. Pawlett,27,United Kingdom,Milton Keynes Dons,675,5,1200.0,High/ High,Right
J. Hardeveld,23,Netherlands,Heracles Almelo,700,2,1100.0,Medium/ High,Left
J. Kliment,24,Czech Republic,VfB Stuttgart,850,9,1500.0,Medium/ Low,Right
R. Goreux,30,Haiti,Standard de Liège,475,4,713.0,High/ Medium,Right
C. Vargas,19,Mexico,Club América,875,6,1700.0,Medium/ High,Left
A. Fuenmayor,21,Venezuela,Houston Dynamo,875,2,1500.0,Medium/ Medium,Right
R. Åhman Persson,31,Sweden,IK Sirius,425,1,531.0,Medium/ High,Left
M. Slavov,27,Ukraine,Vendsyssel FF,675,4,844.0,Medium/ Medium,Right
Lee Chan Dong,25,South Korea,Jeju United FC,800,2,1100.0,Medium/ High,Right
D. Szymański,23,Poland,Wisła Płock,825,2,1300.0,High/ High,Right
S. Stolze,23,Germany, SSV Jahn Regensburg,875,3,1500.0,Medium/ Medium,Right
B. Tekpetey,20,Ghana,SC Paderborn 07,1000,3,1800.0,High/ Medium,Right
F. El Mellali,21,Algeria,Angers SCO,950,6,2100.0,Medium/ Medium,Right
M. Doughty,25,United Kingdom,Swindon Town,800,5,1500.0,Medium/ Medium,Left
M. Szczepaniak,27,Poland,Miedź Legnica,675,2,911.0,Medium/ Medium,Right
A. Martínez,24,Chile,Audax Italiano,850,2,1200.0,Medium/ Medium,Right
T. Teniste,30,Estonia,SK Brann,475,2,594.0,High/ High,Right
G. Korte,24,Netherlands,NAC Breda,800,3,1200.0,Medium/ Medium,Right
B. Alnwick,31,United Kingdom,Bolton Wanderers,400,3,760.0,Medium/ Medium,Right
D. Acosta,20,United States of America,Real Salt Lake,1100,2,2300.0,Medium/ Medium,Left
B. Manu,21,Germany,Hallescher FC,1000,1,1700.0,High/ Medium,Right
Jin Seong Wook,24,South Korea,Jeju United FC,925,2,1300.0,High/ Medium,Left
S. Akasaki,26,Japan,Kawasaki Frontale,700,3,910.0,Medium/ Medium,Right
S. N'Guessan,23,Ivory Coast,AS Nancy Lorraine,875,2,1700.0,Medium/ Medium,Right
A. Angoula,37,France,La Berrichonne de Châteauroux,90,1,158.0,Low/ Medium,Right
K. Pedersen,25,Denmark,Aalborg BK,725,4,961.0,Low/ High,Right
J. Brayford,30,United Kingdom,Burton Albion,475,3,831.0,Medium/ Medium,Right
S. Suciu,28,Romania,Venezia FC,650,2,1000.0,Medium/ Medium,Right
M. Ricci,24,Italy,Spezia,825,1,1300.0,Medium/ Medium,Right
Morillas,31,Spain,CF Rayo Majadahonda,425,2,659.0,Medium/ Medium,Left
K. Andersen,32,Belgium,SC Fortuna Köln,500,1,725.0,Medium/ Medium,Right
F. Varela,22,Argentina,CF Rayo Majadahonda,1000,3,,Medium/ Medium,Right
Júnior Negão,31,Brazil,Ulsan Hyundai FC,575,3,719.0,Medium/ Medium,Left
F. Casarini,28,Italy,Ascoli,650,2,1000.0,Medium/ Medium,Right
J. Omolo,28,Kenya,KSV Cercle Brugge,525,4,761.0,Medium/ Medium,Right
C. Chapman,23,Australia,Pohang Steelers,725,2,961.0,Medium/ Medium,Right
Rúben Oliveira,23,Portugal,CD Aves,900,3,,High/ Low,Right
S. Lizana,25,Chile,CD Palestino,775,2,1100.0,Medium/ Medium,Right
K. Hidalgo,22,Chile,CD Huachipato,725,1,1000.0,Medium/ Medium,Right
J. Mackie,32,United Kingdom,Oxford United,525,4,919.0,High/ High,Right
Han Seung Gyu,21,South Korea,Ulsan Hyundai FC,950,2,1400.0,Medium/ Medium,Right
Narcisso Mau,30,Brazil,Ceará Sporting Club,475,6,879.0,Medium/ Medium,Right
L. Reis,18,Netherlands,FC Groningen,1100,1,2400.0,Medium/ Medium,Right
C. Gomes,17,France,Manchester City,1100,10,2800.0,Medium/ High,Right
L. Angulo,22,Colombia,Independiente Medellín,900,1,1400.0,Medium/ Medium,Right
E. Domaschke,32,Germany,SV Meppen,375,1,544.0,Medium/ Medium,Right
M. Nizam,27,Turkey,Antalyaspor,525,5,1100.0,Medium/ Medium,Left
B. Halloran,26,Australia,Adelaide United,750,2,994.0,High/ Low,Right
P. Möschl,25,Austria,SG Dynamo Dresden,775,6,1300.0,Medium/ Medium,Right
M. Milec,26,Slovenia,,0,0,,High/ Medium,Right
F. Bambock,23,France,Córdoba CF,700,2,1100.0,Medium/ High,Right
S. Vasiliadis,20,Germany,SC Paderborn 07,1100,3,1900.0,High/ Medium,Right
Rui Silva,22,Portugal,Santa Clara,900,3,,High/ Medium,Right
T. van de Looi,18,Netherlands,FC Groningen,1100,1,1700.0,Medium/ Medium,Right
M. Orozco,32,United States of America,Lobos BUAP,375,3,619.0,Medium/ Medium,Right
M. N'Doye,26,Senegal,GFC Ajaccio,775,2,1400.0,Medium/ Medium,Right
E. Sarraj,28,Saudi Arabia,Ohod Club,675,7,1100.0,Medium/ Medium,Right
Fabio,29,Brazil,Gamba Osaka,500,4,625.0,Medium/ High,Right
J. Graham,23,United Kingdom,Ipswich Town,850,15,,Medium/ Low,Right
E. Farias,29,Chile,Deportes Iquique,500,1,675.0,Medium/ High,Left
Mica Pinto,25,Portugal,Fortuna Sittard,650,2,991.0,Medium/ Medium,Left
J. Tanaka,30,Japan,Vissel Kobe,600,3,750.0,High/ Medium,Left
B. Whiteman,22,United Kingdom,Doncaster Rovers,725,3,1300.0,Medium/ Medium,Right
Nazario Serpe,26,Brazil,Bahia,550,4,1000.0,Medium/ High,Right
I. Arce,26,Argentina,San Martin de Tucumán,550,3,,Medium/ Medium,Right
R. Hollingshead,27,United States of America,FC Dallas,600,2,945.0,High/ High,Right
Botelhinonsa,30,Brazil,Atlético Paranaense,475,4,903.0,Medium/ Medium,Right
Lim Chan Wool,23,South Korea,Gangwon FC,875,2,1300.0,High/ Medium,Right
Joca,22,Portugal,Rio Ave FC,875,3,2000.0,Medium/ Medium,Right
J. Sandoval,31,Uruguay,Argentinos Juniors,425,4,616.0,High/ Medium,Right
B. Knežević,21,Croatia,Dinamo Zagreb,750,1,1700.0,Medium/ Medium,Right
Y. Anchico,34,Colombia,Independiente Medellín,325,1,439.0,High/ Medium,Right
F. Del Sole,20,Italy,Pescara,1000,19,,Medium/ Medium,Left
Dálcio,22,Portugal,Os Belenenses,900,3,,Medium/ Low,Left
F. Cosenza,32,Italy,Lecce,375,1,581.0,Medium/ High,Right
P. Daka,19,Zambia,FC Red Bull Salzburg,1400,6,3000.0,Medium/ Medium,Right
O. Ribera,26,Bolivia,,0,0,,Medium/ Medium,Right
V. Andriuškevičius,27,Lithuania,DC United,525,2,788.0,High/ Medium,Left
R. Clark,35,United States of America,Columbus Crew SC,150,2,225.0,Medium/ High,Right
M. Angha,24,Switzerland,FC Sion,825,7,1400.0,Medium/ Medium,Right
J. Dasilva,20,United Kingdom,Bristol City,1300,8,3200.0,High/ Medium,Left
M. Bär,26,Germany,VfR Aalen,750,1,1100.0,Medium/ Medium,Right
J. Mora,25,Costa Rica,DC United,700,2,1100.0,Medium/ Medium,Left
G. Rodríguez,27,Argentina,San Martin de Tucumán,675,4,979.0,High/ Medium,Right
F. Diarra,26,Mali,La Berrichonne de Châteauroux,825,2,1500.0,High/ Low,Right
K. Igboananike,29,Nigeria,Örebro SK,650,2,813.0,High/ Medium,Right
S. Horvath,21,Austria,SG Dynamo Dresden,875,4,1500.0,Medium/ Medium,Right
J. Levi,22,Sweden,Rosenborg BK,950,2,1400.0,Medium/ Low,Left
D. Cole,23,United Kingdom,Burton Albion,925,14,,High/ Low,Right
M. Hallberg,22,Sweden,Vejle Boldklub,900,3,1300.0,Medium/ Medium,Right
Carlos Blanco,22,Spain,Villarreal CF,825,7,1900.0,Medium/ Medium,Right
R. Guerra,21,Uruguay,Gimnàstic de Tarragona,1000,6,,Medium/ Medium,Right
S. Scannell,27,Republic of Ireland,Bradford City,675,4,1200.0,High/ Medium,Right
J. Marquis,26,United Kingdom,Doncaster Rovers,825,4,1500.0,High/ Medium,Right
Park Gi Dong,29,South Korea,Suwon Samsung Bluewings,650,3,813.0,High/ Low,Left
N. Jackers,20,Belgium,KRC Genk,750,2,1300.0,Medium/ Medium,Right
M. Schröter,22,Germany,FSV Zwickau,750,1,1200.0,High/ Medium,Right
L. Broź,32,Poland,Śląsk Wrocław,350,2,473.0,High/ Medium,Right
J. Dodoo,23,Ghana,Blackpool,1000,13,,Medium/ Low,Right
C. Ronan,20,Republic of Ireland,Walsall,1100,13,,Medium/ Medium,Right
Edenildo Lagoas,30,Brazil,Ceará Sporting Club,475,6,879.0,Medium/ High,Right
S. Freis,33,Germany, SSV Jahn Regensburg,400,4,620.0,Medium/ Medium,Right
E. Diaw,23,Senegal,Korona Kielce,725,2,1000.0,Medium/ High,Left
E. Owusu,20,France,FC Sochaux-Montbéliard,1300,10,,Medium/ Medium,Right
L. Vácha,29,Czech Republic,Sparta Praha,500,1,1100.0,Medium/ Medium,Right
L. Hutten,28,Netherlands,Fortuna Sittard,650,3,943.0,Medium/ Medium,Right
M. Dittgen,23,Germany,SV Wehen Wiesbaden,825,2,1300.0,Medium/ Low,Left
Park Han Bin,20,South Korea,Daegu FC,1100,2,1700.0,Low/ High,Right
R. Matsuda,26,Japan,Cerezo Osaka,550,3,688.0,Medium/ High,Right
D. Frick,28,Germany,FSV Zwickau,525,1,761.0,Medium/ Medium,Right
Chuca,21,Spain,Elche CF,975,6,,Medium/ Medium,Right
A. Lamas,34,Uruguay,Atlético Tucumán,200,3,300.0,Medium/ Medium,Left
A. Grant,24,Australia,Perth Glory,700,2,928.0,Medium/ Medium,Left
Hwang Seok Ho,29,South Korea,Shimizu S-Pulse,500,2,625.0,Medium/ High,Right
G. Berthier,22,France,Red Star FC,1000,5,,High/ Medium,Left
F. Depaoli,21,Italy,Chievo Verona,1200,4,2900.0,Medium/ Medium,Right
E. Godoy,31,Chile,Curicó Unido,425,1,574.0,Medium/ Medium,Left
N. Dorsch,20,Germany,1. FC Heidenheim 1846,1100,3,2400.0,Medium/ Medium,Right
M. Massop,24,Netherlands,Waasland-Beveren,700,3,1100.0,Medium/ Medium,Left
D. Blacha,27,Poland,VfL Osnabrück,650,2,943.0,Medium/ Medium,Right
A. Angulo,21,Colombia,Rionegro Águilas,900,1,1400.0,Medium/ Medium,Left
R. Niemeijer,23,Netherlands,FC Emmen,850,2,,High/ Medium,Right
M. Melluso,20,Argentina,Gimnasia y Esgrima La Plata,1300,3,2700.0,Medium/ High,Left
Kim Ho Nam,29,South Korea,Jeju United FC,625,2,781.0,High/ Low,Right
L. Cabrera,24,Chile,Audax Italiano,700,1,998.0,Medium/ High,Right
P. Dziczek,20,Poland,Piast Gliwice,825,2,1300.0,Medium/ Medium,Right
L. Badiashile,20,France,AS Monaco,725,8,1500.0,Medium/ Medium,Right
H. Shipp,26,United States of America,Seattle Sounders FC,700,3,1100.0,Medium/ Medium,Right
O. Cissokho,31,Senegal,US Orléans Loiret Football,575,2,1000.0,Medium/ Medium,Left
Ricardinho,28,Brazil,Wisła Płock,675,3,911.0,Medium/ Medium,Right
P. Tomasik,30,Poland,Lech Poznań,475,3,641.0,High/ Medium,Left
T. Leugers,27,Germany,SV Meppen,600,1,915.0,Medium/ High,Left
T. Wada,27,Japan,Sanfrecce Hiroshima,525,4,656.0,Medium/ Medium,Left
A. Beghetto,23,Italy,Frosinone,875,4,1800.0,Medium/ Medium,Left
M. Inoha,32,Japan,Vissel Kobe,375,3,469.0,Medium/ Medium,Right
D. Cappelletti,26,Italy,Padova,625,1,1000.0,Medium/ Medium,Right
D. Murillo,24,Colombia,Junior FC,725,1,1100.0,High/ Medium,Right
D. Blanco,23,Argentina,Defensa y Justicia,975,5,,Medium/ Medium,Right
G. Kobel,20,Switzerland,TSG 1899 Hoffenheim,1000,4,2300.0,Medium/ Medium,Right
J. Bøge,28,Denmark,Hobro IK,500,3,625.0,Medium/ Medium,Right
B. Valette,25,France,Nîmes Olympique,525,4,1100.0,Medium/ Medium,Right
S. Davies,30,United Kingdom,Blackpool,625,4,1100.0,Medium/ Medium,Left
F. Proia,22,Italy,Cittadella,925,1,1600.0,High/ High,Right
O. Kiteishvili,22,Georgia,SK Sturm Graz,1100,5,1800.0,Medium/ Medium,Right
C. Forrester,25,Republic of Ireland,Aberdeen,750,2,1500.0,Medium/ Medium,Right
D. Balanta,24,Colombia,Junior FC,750,1,1200.0,Medium/ High,Right
L. Montipó,22,Italy,Benevento,900,1,1600.0,Medium/ Medium,Right
J. Tverskov,25,Denmark,Odense Boldklub,725,4,961.0,Medium/ Medium,Right
D. Barinov,21,Russia,Lokomotiv Moscow,925,1,2100.0,Medium/ Medium,Left
M. Hughes,31,United Kingdom,Accrington Stanley,425,2,744.0,Low/ Medium,Right
S. Brandstetter,28,Germany,SV Wehen Wiesbaden,675,3,979.0,Medium/ Medium,Right
R. Seuntjens,29,Netherlands,VVV-Venlo,625,3,906.0,High/ High,Right
D. Samuel,24,United Kingdom,Blackburn Rovers,875,11,1700.0,Medium/ Low,Right
E. Palmer-Brown,21,United States of America,NAC Breda,975,2,1600.0,Low/ High,Right
Y. González,23,Colombia,Junior FC,850,1,1300.0,High/ High,Right
D. van Bruggen,22,Netherlands,VVV-Venlo,775,2,1300.0,Medium/ Medium,Right
G. Pacheco,29,Chile,CD Universidad de Concepción,475,2,665.0,Medium/ Medium,Right
P. Ochs,21,Germany,Aalborg BK,1400,7,,Medium/ Medium,Left
Miguelón,22,Spain,Villarreal CF,850,7,2000.0,Medium/ Medium,Right
J. Horn,31,Norway,Sarpsborg 08 FF,425,2,531.0,Medium/ High,Right
E. Boldewijn,25,Netherlands,Notts County,775,6,1400.0,Medium/ Medium,Right
Stéfano Pinho,27,Brazil,Orlando City SC,750,3,1200.0,High/ Medium,Right
P. Bochniewicz,22,Poland,Górnik Zabrze,775,6,,Low/ High,Left
E. Caicedo,23,Colombia,Deportivo Cali,850,1,1400.0,Medium/ Medium,Left
P. Sisniega,22,Mexico,Real Sociedad,675,5,1600.0,Medium/ Medium,Right
F. Wadja,23,Cameroon,FC Lorient,750,2,1500.0,High/ Medium,Right
A. Al Faraj,29,Saudi Arabia,Al Nassr,500,10,850.0,Medium/ Medium,Right
S. Al Muwallad,27,Saudi Arabia,Al Ahli,600,10,1100.0,Medium/ Medium,Right
Yang Cheng,32,China,Hebei China Fortune FC,375,3,806.0,Medium/ Medium,Right
N. Douchez,38,France,Red Star FC,40,1,70.0,Medium/ Medium,Right
U. Jenssen,21,Norway,FC Nordsjælland,925,3,1300.0,Medium/ Medium,Left
C. Dawson,22,United Kingdom,Sheffield Wednesday,700,5,1500.0,Medium/ Medium,Right
F. Gino,25,Uruguay,Club Atlético Aldosivi,850,4,1300.0,Medium/ Medium,Right
Alberto Soro,19,Spain,Real Zaragoza,1400,2,3100.0,High/ Medium,Left
C. Carrillo,25,Colombia,Millonarios FC,700,1,1000.0,Medium/ Medium,Right
D. Palacios,18,Ecuador,Willem II,775,1,1300.0,Medium/ Medium,Left
A. Baclet,32,France,Cosenza,525,1,814.0,Medium/ Medium,Left
E. Jääger,33,Estonia,Vålerenga Fotball,260,2,325.0,Medium/ Medium,Right
M. Hofmann,24,Austria,SK Rapid Wien,675,4,1100.0,Low/ High,Right
J. Jach,24,Poland,Çaykur Rizespor,775,11,,High/ Medium,Left
G. Docherty,21,United Kingdom,Shrewsbury,1100,10,,High/ Medium,Right
L. Escorcia,21,Colombia,Jaguares de Córdoba,925,1,1400.0,Low/ Medium,Right
R. Rebolledo,21,Chile,Universidad Católica,700,2,1000.0,Medium/ Medium,Right
Toni Martínez,21,Spain,CF Rayo Majadahonda,1400,16,,Medium/ Medium,Right
Ander Guevara,20,Spain,Real Sociedad,1000,6,2400.0,Medium/ Medium,Right
D. Drescher,28,Austria,SKN St. Pölten,525,5,761.0,Medium/ Medium,Left
J. Gammelby,23,Denmark,Brøndby IF,850,6,1300.0,High/ Medium,Right
J. Watts,26,United States of America,Houston Dynamo,675,2,1100.0,Medium/ High,Right
R. O'Donovan,32,Republic of Ireland,Newcastle Jets,525,2,656.0,High/ Medium,Right
J. Rodríguez,22,Mexico,Club León,850,7,1600.0,Medium/ Medium,Left
D. Bičík,37,Czech Republic,Sparta Praha,40,1,88.0,Medium/ Medium,Right
N. Vergos,22,Greece,Panathinaikos FC,1000,1,2400.0,High/ Low,Right
J. Narváez,27,Ecuador,,0,0,,Medium/ Medium,Right
R. Nyambe,20,Namibia,Blackburn Rovers,1000,8,2100.0,Low/ Medium,Right
E. Reséndez,22,Mexico,Monterrey,850,7,1600.0,Medium/ Medium,Right
D. Widgren,24,Sweden,Östersunds FK,700,2,928.0,Medium/ Medium,Left
A. Cocco,32,Italy,Pescara,525,2,814.0,Medium/ Low,Right
O. Kefkir,26,Germany,KFC Uerdingen 05,700,3,1000.0,Medium/ Medium,Left
J. Tutuarima,25,Netherlands,De Graafschap,675,2,1000.0,High/ High,Left
Bruno Leite,23,Cape Verde,FK Haugesund,975,2,1400.0,Medium/ Medium,Right
J. Meekings,25,United Kingdom,Dundee FC,675,2,1200.0,Medium/ High,Right
G. Lloris,22,France,OGC Nice,750,7,1600.0,Low/ Medium,Left
M. Konczkowski,24,Poland,Piast Gliwice,675,2,962.0,High/ Medium,Right
A. Jovanović,28,Australia,Jeju United FC,525,2,656.0,Low/ High,Right
C. Depres,23,France,Nîmes Olympique,850,5,1800.0,Medium/ Medium,Right
B. Cufré,21,Argentina,Vélez Sarsfield,975,3,1700.0,Medium/ Medium,Left
J. Asoro,19,Sweden,Swansea City,1400,5,3500.0,High/ Medium,Right
R. Boguski,34,Poland,Wisła Kraków,325,3,439.0,Medium/ High,Right
A. Jacobsen,28,Denmark,Odense Boldklub,675,5,844.0,Medium/ Medium,Right
S. Miangue,21,Belgium,Standard de Liège,850,6,,Medium/ Medium,Left
A. Bernal,30,Colombia,América de Cali,475,2,,Medium/ High,Right
E. Capradossi,22,Italy,Spezia,850,12,,Low/ High,Right
F. Perucchini,26,Italy,Ascoli,575,1,934.0,Medium/ Medium,Left
T. Agyepong,22,Ghana,Hibernian,900,2,1800.0,Medium/ Low,Right
G. Kharaishvili,21,Georgia,IFK Göteborg,950,1,1400.0,Medium/ Medium,Right
Iñigo Vicente,20,Spain,Athletic Club de Bilbao,1200,5,3400.0,Medium/ Medium,Right
J. Baldwin,25,United Kingdom,Sunderland,725,4,1300.0,Medium/ High,Right
R. Dekker,23,Netherlands,PEC Zwolle,850,3,1300.0,Medium/ High,Right
Cristo González,20,Spain,Real Madrid,1200,26,2600.0,Medium/ Medium,Right
Diogo Costa,18,Portugal,FC Porto,1100,1,2900.0,Medium/ Medium,Right
G. Koyalipou,18,France,Chamois Niortais Football Club,1200,1,2700.0,Medium/ Low,Right
Alan Sousa,21,Brazil,Vejle Boldklub,1100,3,1500.0,High/ Medium,Left
R. Ramírez,22,Venezuela,Fortuna Sittard,725,2,1100.0,Medium/ High,Right
S. Fischer,29,Netherlands,Vendsyssel FF,500,4,625.0,Medium/ High,Right
L. Kelly,28,United Kingdom,Coventry City,525,3,919.0,Medium/ Medium,Right
C. Dorda,29,Germany,KFC Uerdingen 05,475,3,689.0,Medium/ Medium,Left
N. Næss,25,Norway,SC Heerenveen,675,3,1100.0,Medium/ Medium,Right
D. Asprilla,26,Colombia,Portland Timbers,750,3,1200.0,High/ Medium,Right
K. Endo,20,Japan,Yokohama F. Marinos,950,2,1400.0,Medium/ Medium,Right
B. Sævarsson,33,Iceland,,0,0,,Medium/ Medium,Right
A. Acosta,30,Mexico,Tigres U.A.N.L.,475,13,760.0,Medium/ Medium,Left
S. Carruthers,25,Republic of Ireland,Oxford United,800,4,,High/ Medium,Right
P. Mpanzu,24,United Kingdom,Luton Town,850,3,1600.0,Medium/ Medium,Right
G. Milan,30,Argentina,Tiburones Rojos de Veracruz,475,3,784.0,Medium/ Medium,Right
K. Chiba,33,Japan,Sanfrecce Hiroshima,260,4,325.0,Medium/ High,Right
M. Boadu,17,Netherlands,AZ Alkmaar,1300,3,2700.0,High/ Medium,Right
C. Doyle,33,Republic of Ireland,Heart of Midlothian,325,2,569.0,Medium/ Medium,Right
Fran Rodríguez,23,Spain,UD Almería,750,2,1300.0,High/ Medium,Right
S. Jakubiak,25,Germany,Heracles Almelo,700,2,1100.0,Medium/ Medium,Right
M. Buchalik,29,Poland,Wisła Kraków,500,2,713.0,Medium/ Medium,Right
N. Proschwitz,31,Germany,SV Meppen,575,1,834.0,High/ High,Right
F. Banguero,29,Colombia,Millonarios FC,475,2,665.0,Medium/ Medium,Left
M. El-Shenawy,29,Egypt,,0,0,,Medium/ Medium,Right
H. Iikura,32,Japan,Yokohama F. Marinos,375,2,469.0,Medium/ Medium,Right
K. Gehring,30,Germany,SG Sonnenhof Großaspach,475,2,689.0,Medium/ High,Right
P. McGowan,30,United Kingdom,Dundee FC,600,3,1100.0,High/ Medium,Right
J. Pierazzi,33,France,GFC Ajaccio,260,2,455.0,Low/ High,Right
Wang Yongpo,31,China,Tianjin Quanjian FC,550,7,1200.0,High/ Medium,Right
M. Sánchez,30,Argentina,San Martín de San Juan,475,4,689.0,Medium/ Medium,Right
S. Gannon,26,Republic of Ireland,Dundalk,625,1,1000.0,High/ Medium,Right
C. Capone,19,Italy,Pescara,1400,4,,Medium/ Medium,Right
C. Taylor,31,United Kingdom,Blackpool,575,3,1000.0,Medium/ Medium,Right
R. Lange,29,Germany,FSV Zwickau,475,1,689.0,Medium/ High,Left
A. Keita,26,Guinea,Os Belenenses,800,3,1700.0,Medium/ Medium,Right
B. Gueye,23,Senegal,SC Paderborn 07,900,4,1600.0,Medium/ Medium,Right
K. Wagner,21,Germany,FC Würzburger Kickers,725,2,1100.0,Medium/ Medium,Left
Xisco Campos,36,Spain,RCD Mallorca,70,2,109.0,Medium/ High,Right
C. Robertson,24,United Kingdom,Rotherham United,675,8,1300.0,Medium/ Medium,Left
C. Conway,33,United Kingdom,Blackburn Rovers,400,12,760.0,High/ Medium,Right
Jajá,23,Brazil,Kalmar FF,825,1,1100.0,Medium/ Medium,Left
A. Vanins,38,Latvia,FC Zürich,40,2,58.0,Medium/ Medium,Right
O. Mendoza,29,Mexico,Club Tijuana,475,6,808.0,Medium/ Medium,Right
A. Faltsetas,30,Sweden,BK Häcken,600,2,750.0,Medium/ High,Right
J. Elsey,24,Australia,Adelaide United,675,1,894.0,Medium/ High,Right
A. Plizzari,18,Italy,Milan,1100,4,2500.0,Medium/ Medium,Right
D. Martin,32,United Kingdom,Millwall,375,3,713.0,Medium/ Medium,Right
Gu Cao,30,China,Henan Jianye FC,475,4,1000.0,Medium/ High,Right
L. Strizzolo,26,Italy,Cittadella,825,1,1300.0,Medium/ High,Right
Juan Rodríguez,23,Spain,Real Sporting de Gijón,750,3,1400.0,Medium/ Medium,Right
S. Moyano,27,Argentina,Gimnasia y Esgrima La Plata,550,3,866.0,Medium/ Medium,Right
A. Schetino,24,Uruguay,Cosenza,775,11,,Medium/ Medium,Right
A. Caci,21,France,RC Strasbourg Alsace,925,4,2000.0,Medium/ Medium,Right
V. Janjetović,30,Australia,Western Sydney Wanderers,425,2,531.0,Medium/ Medium,Right
N. Haas,22,Switzerland,Palermo,1100,7,,Medium/ Medium,Right
T. Valls,22,France,Nîmes Olympique,850,5,1800.0,Medium/ Medium,Left
P. Herrmann,30,Germany,Holstein Kiel,475,4,736.0,Medium/ High,Right
C. Ramsebner,29,Austria,LASK Linz,500,4,725.0,Medium/ Medium,Right
L. Martinelli,29,Italy,Foggia,500,1,800.0,Low/ High,Right
Freire,28,Brazil,Shimizu S-Pulse,525,2,656.0,Medium/ Medium,Right
